tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 Escalation NHAI_Official PhonePe_ NPCI_NPCI NPCI_BHIM PMOIndia MoHFW_INDIA CimGOI moayush GoI_MeitY RuPay_npci UPI_NPCI NPCI_BHIM Fastag is not complied by MEP infraLtd at all EntryToll of Mumbai After end of lockdown traffic will be big health hazard,NULL,NULL,,1,NULL
 Maa Phone Pe Puch Rahi thi Beta Ye Lockdown aage Bdhega ya Nahi   Aur M ye Bhi Na Bol ska   Kya Farak Pdta h Maa Hme to Bank Jana hi hai   BankersLife AAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 flipkart Trying to understand we do n t have earning sources now We all lockdown in our houses So please extend flipkart pay later date Already Government requested to all finance company to extend emi date and pay later date,REQUEST,REQUEST,,0,REQUEST
 PhonePeSupport Dear sir Today I got call from this number he told me that sir you got lockdown help support and open phonepe and transfer it to your account but I read carefully then I declined the payment please aware your customer otherwise big loss faced,COMPLAINT,COMPLAINT,Fraud Alert,0,FRAUD
 No affordable reliancejio recharge plans during lockdown paytm PhonePe_,COMPLAINT,COMPLAINT,,0,COMPLAINT
 Support_lockdown PMCaresFunds PhonePe Donate here,DONATION,DONATION,Donation,1,DONATION
 Donate karo aur help karo un logo ki jo lockdown ki wajah se ghar par baithe hain aur kaam karke paise nahi kama paa rahe unko apni family ki chinta hai To kyu naa hum is link ko share karen aur tweet karen I4india ko follow karo,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ Toady morning i got call from this no He told me that u got rupee Through Phonepay and Because of Lockdown It a Gift for u Stay at home he told me Plz click on pay button u will get i Cut this no,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 What you can do during this lockdown situation Here is a small video to improve your skills and support the country at the situation Covid19India PMCaresfund PhonePe i4India,CONVENIENCE,NULL,,1,NULL
 Lockdown ke bavajoot jb koi phone pe puche kaha hai ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Haa jab tak yeh lockdown rahega duniya phone pe hi rahegi aur aise hi nett lag hogaAAAAAAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 I have one Q this lockdown is only for days or will increase,QUESTION,QUESTION,,0,QUESTION
 Paytmcare I received the worst service from you At the time of lockdown you guys have freezed my account with INR in it Even after sending all the documents you guys are n t replying I use PhonePe from now if you do not unfreeze my account within hours,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 Dear CyberDost Uppolice pilibhitpolice AskAnshul I received a call from this no and he was saying that click on your phonepe notification icon MODI ji has sent you financial help of Rs during this lockdown i clicked on the notification icon and notice that,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Lockdown K Bawajood Jab Koi Phone Pe Poochta Hai K Kahan Hai Tu  Bhai Chaand Per Hu Main,NOT RELATED,NOT RELATED,,1,NOT RELATED
 During lockdown essential services vendor Deny online payment like paytm Google pay and phone pe demand for cash meanwhile police did n t allow people go out so people ca n t reach to ATM machine People need help dgpgujarat Divya_Bhaskar RBI CMOGuj vnehra ANI,INCONVENIENCE,INCONVENIENCE,Help Covid-19,0,INCONVENIENCE
 Lockdown k bawajood jb koi phone pe puchee Kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Digital Payment enablers be allowed to sign-up milk vendors supplying in lockdown to avoid cash and disease transmission Manoj_ParidaIAS ssptfcchd nilambariips vpsbadnore KirronKherBJP RajBalaMalik Paytm PhonePe_ GooglePay UPI_NPCI NPCI_BHIM Chandigarh,REQUEST,REQUEST,Request,1,REQUEST
 Our state government already providing cooked food and money to cope up with lockdown,NOT RELATED,NOT RELATED,Help Covid-19,0,HELP-COVID19
 Hello In view of the countrywide lockdown we are operating with limited staff and our responses will be delayed Please log in to My Vodafone App or visit for all payments recharges service queries Stay Home Stay Safe,NOT RELATED,NOT RELATED,Request,0,REQUEST
 Lockdown ke bawjood koi phone pe puchhe   Kha ho Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 I think phone pe Internet Lockdown karenge Dedicated Net Services will affect WFH guys,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown k bavajoot jab koi phone pe puche kahan ho,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Download flizmovies App from google play and try paykun payment option and u can pay by phonepe or paytm and can pay in net banking u can go to and subscribe tell ur friends relative to follow in twitter n subscribe too In this lockdown flizingAAAA,CONVENIENCE,CONVENIENCE,Help Covid-19,0,HELP-COVID19
 Yaar kaise karu Lockdown ki vajah se sab phone pe lage rehte hai isliye network issues AAAAAAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 PhonePe_ getting fraud calls from the num saying that u have some phonepay reward Dont want to file an FIR as police is busy with lockdown TRAI pls help manojsinhabjp,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Lockdown strict chey sir Next hospitals and isolations increase chey sir And AP funds ki phone pe and Google pay lo page create cheyandi sir we can fight it sir,DONATION,DONATION,,0,DONATION
 Lockdown ky baavajod koi phone pe pochay AAAkahan ho AAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Jio Cashback Offer Upto Rs Cashback with Paytm PhonePe and More Get it Now Jio Cashback Offer Recharge Online Discount BeSafeGoDigital Digital lockdown Freebies FreeKaaMaal,PUBLICITY,PUBLICITY,,1,PUBLICITY
 Lockdown ke baavjoot jb koi phone pe puche kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baawajood jb koi phone pe punche kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke bavajood jab koi phone pe phhuchy Kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 These people do n t reply on your logical question and they want us to trust then These people are have stopped everything due to lockdown now they are not extending my replacement dates,COMPLAINT,COMPLAINT,,0,COMPLAINT
 PaytmBank PhonePe_ GooglePay GooglePayIndia Team Can all my vouchers get auto renewed for another date Traveling movie online shopping etc at are lockdown currently here Please update AI system accordingly,REQUEST,REQUEST,Request,1,REQUEST
 My Friends Lockdown ky Bawajood jab phone pe puche kahan hai Me While Playing PUBG AAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown k baavajoot jab koi phone pe puchy Kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 LockDown Ke Bavjut Jab Koi Phone Pe Puche Kaha Hai Me Abe Chand Pe Hai Mai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke hone ke bad bhi koi phone pe puche kahan hai Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baavjoot jb koi phone pe puche kaha hai me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baavjoot jab koi phone pe puche Kahan hai bhai Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown Ke baavjoot jb koi phone pe puche AAAKAHAN HAIAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 PhonePe_ Could you please extend offers as this is lockdown period and ca n t use it,REQUEST,REQUEST,Request,1,REQUEST
 Lockdown ke baavjoot jab koi Phone pe puche kha hai Me Chand pe h apun bhenchod AAAAAAAA meme bakchodi akkysingh_ Govindk49602033,NOT RELATED,NOT RELATED,,1,NOT RELATED
 coronavirus21 Please be cautious not to use currency notes or coins instead use Bhim Googlepay Phonepe Paytm etc in this Lockdown period,REQUEST,REQUEST,Request,1,REQUEST
 I just got a fraudulent call from unknown number referring himself a PhonePe employee Asking me to accept rs payment as a lockdown offer given by government But it was not a recieving payment notification PhonePe_ cyber mpcyberpolice CyberGwalior,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Lockdown ke baavjoot jb koi phone pe puche Kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Hi Jaynat We very sorry to hear about this Please ask your brother file a complaint with the cybercrime department regarding this once the lockdown is lifted As this involves fraud they will take the issue forward,QUERY ANSWER,FRAUD,Fraud Alert,1,FRAUD
 Lockdown ke bavajood jab koi phone pe puncha kahan hai Chand pe hai apun,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baavjoot jab koi phone pe puchta hain kaha hain Me chand pe hu apun aajaa bhosdike,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Toh TV pe dekh lo Lockdown hai ek baar tv pe bhi dekh lo nai mann lage toh phone pe dobara dekh loAAAAAAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown kaa baavjoot koi phone pe puche kahan hai Me Chaand pe hai apun,NOT RELATED,NOT RELATED,,1,NOT RELATED
 lockdown Coronavirustruth,NULL,NULL,,1,NULL
 AAA StartupsVsCovid19 Paytm PhonePe Pool Funds Practo Starts Diagnosis On Day Lockdown AAA,DONATION,DONATION,,0,DONATION
 Lockdown ke baavjoot jb koi phone pe puche Kahan hai CHAND PE HAI APUN,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke bawajood jab koi phone pe puche kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 YesWeCanFoundationBidar Lockdown s Not Same4Everyone DoUrBit PayGenerously Ration_Kit peoples Rice5kg Wheat flour5kg Masoor1kg Oil1Ltr Mirchi powder1 2kg Namak1kg Haldi250Gram Sugar1kg Patti Adrak lahsan1 4kg Phone pe Or Google pay Us Rahil,HELP-COVID19,HELP-COVID19,,1,HELP-COVID19
 Abhi Lockdown hai to phone pe he video banne ki kosh ki hai AAAA keep inspiring us DrVikasPadha ji,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown k bawajood jb koi phone pe puchy AAAKahan HaiAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown k bawajood b jab koi phone pe puchay kaha h ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Thank you so much Paytm and PhonePe_ for donations to the nation We people of India are appreciate your initiative Thank you so much for thinking about INDIA AAAAAAAA Coronavirustruth lockdown,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Lockdown ke ba vajud   Jab koi phone pe puche Kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown hai phir bhi log phone pe puche kahan hai Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ka baavjoot jb koi phone pe pucha kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baavjood jb koi phone pe puche kahan ho,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown k chlte Jb Koi phone Pe puche Kahan hai Me,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown ke baavjoot jab koi phone pe puche AAAAAAKAHAN HAI AAAAAA CHAND PE HAI APUN AAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Dear airtelbank your AirtelPaymentsBank has serious bugs It deducts the money from bank if paid via UPI i e via PhonePe But the user gets nothing Moreover ZERO response for days due to lockdown I requesting to fellow users to refrain until support will resume,REQUEST,REQUEST,Complaint,0,REQUEST
 Lockdown ke bazood jab koi phone pe puche kahan hai,NOT RELATED,NOT RELATED,,1,NOT RELATED
 A small Contribution to Pm care fund to my Nation I want to assure you that my family and I are following the lockdown totally I also thank to phone pe gateway for giving this facility   AAAA,APPRECIATION,APPRECIATION,Donation,0,APPRECIATION
 Is it empathetic to reply this during a time when the nation is struggling with the lockdown why do n t u understand the urgency of people initially u stated that the amount shall be receive by Mar then now April Have u guys lost ur senses PhonePeSupport PhonePe_,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 There are many poor workers of Bengal in Gurgaon Haryana The lockdown has caused them to stop working So request all of you to help them FINANCIALLY for their food Phone pe paytm no- Kotak Mahendra Bank Acc No IFSC- KKBK0004265 Md Mustafijur Rahaman,DONATION,DONATION,Help Covid-19,1,DONATION
 Is PhonePe_ down during this lockdown,QUESTION,QUESTION,question,1,QUESTION
 GooglePayIndia in this lockdown situation u and ur chat support is doing fraud What a time u have taken out to fool customers Shame on U PhonePe_ PhonePeSupport is always outstanding Fake offers by GPay and looting customers,FRAUD,FRAUD,Appreciation,0,APPRECIATION
 Lockdown ke baavjoot jb koi banda phone pe puche kha hai tu,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Lockdown hone k bavajud koi phone pe puse ki kaha pe ho tum to,NOT RELATED,NOT RELATED,,1,NOT RELATED
 I had ordered a phone on March and it has n t moved from ordered status yet I understand that the delivery got late due to lockdown but please give me an estimate as this will help me to manage my work Also please make sure my order does n t gets cancelled,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Phone pe lockdown nahin hai,NULL,NULL,,1,NULL
 Dear sir Lockdown me bahot garib log rahete hai Hum to maddat kar rahe hai Unko kuch paise ki maddat ap karo bahot accha honga Paithan Taluka Dis-Aurangabad Bahot garib basti colony me se jada ghar hai Aur maddat karna chahte hai to maddat karo phone pe google no-9881851041,DONATION,DONATION,Help Covid-19,1,DONATION
 how much time you take to delivery of the my product and due to this lockdown delivery is confirm or not,QUESTION,QUESTION,,0,QUESTION
 Quarantine day Relatives se phone pe baat karne laga hu lockdown,NOT RELATED,NOT RELATED,,1,NOT RELATED
 I am a student Due to the lockdown my university announced the holidays now I have bus fare left so I am donating it to help the poor at your request narendramodi PhonePe_ PMCaresFunds StayHome,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 Sir during this pandemic time everybody is inside their home due to lockdown Epfo software can be tweaked to get the advance by the subscribers through their mobile phone as phonepe and googlepay are doing using phone numbers linked to their bank account,REQUEST,REQUEST,,0,REQUEST
 it is somewhat help their situation For e g PhonePe recently announced that it is going to form an ATM network comprising Mn grocery stores AAA Since these grocery stores are all fully functional during lockdown,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Sir inke thekedar ne inhe paise nhi diye inke pas khane ka kuch saman nhi hai jaisa inhone phone pe bataya mai kosis me hu lekin lockdown ke karan pahucha nhi pa raha hu,NOT RELATED,NOT RELATED,,0,NOT RELATED
 PhonePe_ PhonePeSupport what us my fault if there is a lockdown in the entire country got this reward days back and its expiring this it be extended so that i can use it,REQUEST,REQUEST,Complaint,1,REQUEST
 PMOIndia apko time hai China se aye hue Kashmiri ameer jado se phone pe bat krne ki but Indian administrative officer does n t look towards poor people who suffer most at the time lockdown n demontzsn,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Aaj gav wale tauji see phone pe baat hue Mene mazak me kaha Tauji me waha aa raha hu idhar Corona badh raha hai Tauji Nai beta idhar mat aana gav Lockdown hai kissi ko aane nai diya ja raha Aur koi aa bhi jata hai toh unko din ke liye gav ke bahar khet me rakha jayega,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Mulaqaten bahut hongi Filhaal abhi door raho Carona aur lockdown hai Phone pe dil ki Baat kaho AAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 CyberDost PhonePe_ KolkataPolice Please do some action on this guy He called me and told me that you won mahamari lottery Cheating people Please do some action otherwise he cheat so many people in this lockdown time Fraud fraud,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 Mujhe saare Cricketer se Milna h Aap India me reh Kar meri help nhi Kiya Lockdown me sab Ghar par h Sab phone use Kar rhe Milwaaa do Phone pe Baithe baithe,NOT RELATED,NOT RELATED,,1,NOT RELATED
 narendramodi Ham abhi lockdown me fas gya hu or cashbean se loan liya tha uska pament dete ko hamko dena tha lekin abhi lockdown me Ham nhi de paye jiske liye cashbean penalty le rha hai everyday114 rupya jor rha hi Ham abhi nhi de payenge phone pe notice ka dhamki de,NOT RELATED,NOT RELATED,,1,NOT RELATED
 PhonePe_ How to fill utr form Because ca n t go to bank due to lockdown I have been waiting for a month yet the money has not come Please give me my refund as soon as possible AAA,REQUEST,REQUEST,Request,1,REQUEST
 Ji pe baat Karo Phir jaldi hi lockdown khatam Hoga desh ki economy itni badi Nahi ki jyada din lockdown rahe jaldi hi thik Hoga sab,NOT RELATED,NOT RELATED,,1,NOT RELATED
 narendramodi PhonePe_ Here is my small contribution to our Nation Kindly do the great work and make our country proud   PMOIndia we want to celebrate victory over Corona after this lockdown Save our country narendramodi Ji,DONATION,DONATION,Donation,1,DONATION
 Demonetisation was good for Paytm which eventually PhonePe and GPay took over Lockdown good for BigBasket Grofers Amazon AAA,APPRECIATION,APPRECIATION,,0,APPRECIATION
 I have done pls join us Come on India indian CoronaUpdate CoronaLockdown lockdown StayAtHome StayAtHomeAndStaySafe StayHomeStaySafe narendramodi PhonePe_ AAA,REQUEST,REQUEST,Request,1,REQUEST
 PhonePe_ A phonepe phonepe Lockdown ,NULL,NULL,,1,NULL
 Haan Dikhne lage hain ab Bhagwan kuch Insaanon mein bhi Baakiyon ko lagta hai abhi khabar mili nahi  StayHomeStaySafe StayHomeSaveLives IndiaFightCorona lockdown Lockdown21 PhonePe PMCaresFund PMReliefFund narendramodi PMOIndia AAA,NULL,NULL,,1,NULL
 Kesa laga mera gana IndiaDeservesBetter PoliceBrutality RatanTata EarthHour Devoleena SaturdayMotivation IndiaDesrvesBetter SidNaazSeJaliKya lockdown StayHomeSaveLives Corona Corona PhonePe StayHomeSaveLives IndiaFightsCornona SaturdayMotivation TikTok,NULL,NULL,,1,NULL
 Yeh lockdown ajib pagal bana dia logo ko kuch log phone pe ye status dalte h ki unhe phone se chidd ho gayi   Abey saale AAAA Quarantine lockdownindia LockdownWithoutPlan CoronaLockdown BhulaDungaStreamingParty biggboss kuchvhashtagdaaldologokpasbaatpahunchnachahiye,NOT RELATED,NOT RELATED,,1,NOT RELATED
  Donate Donation_AccountCorona  Lockdown  PhonePe  Googel  Help ,DONATION,DONATION,Donation,1,DONATION
 payment to kr skte h  paise kaha se aayenge ghar baithe lockdown me ghar kharcha chalana muskil h  payment kaha se kre,NOT RELATED,NOT RELATED,,1,NOT RELATED
 As soon I got up first I to log in for con call   Isse acha office hi tha Lockdown is like MAZDOORI phone pe phone,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Dear parents ek teacher ki taraf se aap Sabse request hi ki aap log plz is lockdown ke samaye phone pe busy na hokar Apne bachhon ke saath time spend kariye bohot se bachhe hi Jo ye kehte hi ki unke parents unse koi bt nhi krte iski wajah se bachhe bade disturb rehte hi,NOT RELATED,NOT RELATED,,1,NOT RELATED
 This is so distressing to witness such disturbance in the time of lockdown I was sending this amount to one of my known one and it did not get transferred This is utter reckless because of this we are facing huge loss PhonePe_ PhonePeSupport Phonepesupport,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 PhonePe_ Paytm It time to provide UPI transactions Offer to get Maximum Number Of UPI transactions count from Stay at Home During Lockdown,REQUEST,REQUEST,Request,1,REQUEST
 Sir please give guidelines to all ration shops vita booths that they should take also online payment like gpay phonepe paytm etc Bcz all india is lockdown we ca n t go to banks and this problem is in many cities cmohry anilvijminister PMOIndia narendramodi mlkhattar,REQUEST,REQUEST,Request,1,REQUEST
 lockdown Uppolice A Report,NULL,NULL,,1,NULL
 hydcitypolice Ye sab toh nai but phone pe ungliyo ki exercise achi hojari lockdown k jabse AAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 My mom and dad have been on their phones watching youtube since this lockdown was initiated and they tell me k saara din phone pe laga rehta hai AAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Oh toh phone pe liya hein interview aab sab lockdown hein isliey article me aaye but a tellychakker aur missmalini ke interview jada katarnak likha hein spotboy se bhi,NOT RELATED,NOT RELATED,,1,NOT RELATED
 What do people not understand about lockdown It means to stay at your damn house and not go outside Ajj hamaray ghar mehmaan aa gye hain or papa or wo door door ho ke baat kar rahay hain APNAY GHAR MEIN RAHO KUTTO OR PHONE PE BAAT KAR LO,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Hamare yha itna bura network hai ki kisi se phone pe bat bhi karni ho to bhar jana padta hai Lockdown me bhar nikalna bhot glat hai me asha karta hu ki is issue ko jald se jald think kia jayga networkThikkaro vodaphoneIndia JioCare bhartya_airtel AAA at Inderlok Metro Station,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Mam hm muzaffarpur bihar se hai Mam hmlog v bhut paresaan hai Lockdown k wajah se sb kaam dhandha band pra hai khane k liye v aafat hai Or aise me kist k liye bank wale Phone pe phone kiye jaa rhe,NOT RELATED,NOT RELATED,,1,NOT RELATED
 There is a limit for everyone patience and mine is over no bcoz it been a month now and you are unable to help me and the worst part is your support staff is so arrogant that they want me to go to bank in this lockdown and said to me that we do n t ask you to use PhonePe_,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 OfficialDMRC I recharged my metro card on through Phonepe but I could n t tap it on AVM machine due to lockdown Will I lose my money after days Please help,REQUEST,REQUEST,Request,1,REQUEST
 Sana ke saare interview written hii hai   lockdown hai toh face to face bhi nahi hai toh ab phone pe ho rahe Hain toh jawaab sahi hii milenge BhulaDungaFtSidNaaz,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Argument Mummy-Papa ke beech hota hai Aur saara blame mere bichare phone pe aa jata hai bc Just lockdown things,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Try Phonepe Upi it awesome Do n t worry lockdown will be lifted as soon as possible,PUBLICITY,PUBLICITY,Appreciation,0,APPRECIATION
 all the shopping apps Bhaiyo lockdown chalraha hai aapke upto off mein shopping karke samaan phone pe se use karu STOP GIVING ME CREDIT POINTS at a time I ca n t use it ffs What is this rubbing salt on wound,NOT RELATED,NOT RELATED,,1,NOT RELATED
 AAAdear Kejriwal sir I in dire need of support as I under lakhs of debt and now the lockdown made my situation worse plz plz plz help n plz save me Name Razi Usmani Ac no IFSC UTIB0002426 Axis Bank PayTm PhonePe,DONATION,DONATION,Request,1,DONATION
 narendramodi Bank loan wale phone pe pressure kr rahe h- Jaha marji se EMI do AAAA Lockdown,NOT RELATED,NOT RELATED,,1,NOT RELATED
 nsitharaman Bank loan wale phone pe pressure kr rahe h- Jaha marji se EMI do AAAA Lockdown,NOT RELATED,NOT RELATED,,1,NOT RELATED
 INSTEAD OF TV TUNE IN ALL INDIA RADIO ALL DA UPDATES STAY HOME STAY SAFE STOP SHOPPIN UGADI IF ALL U HV BUY NYTHIN FOLLOW SOCIAL DISTANCING AVOID CASH CARD TRANSACTION USE ONLINE PAYMENT GATEWAYS LIKE PAYTM BHIM GOOGLE PAY PHONEPE PLZ TAKE DA LOCKDOWN SERIOUSLY,CONVENIENCE,REQUEST,Request,1,REQUEST
 Step by step yahi ho raha hai   Shuru se plan hi yahi tha pehle crowded areas ko band kerna hai phir logo mein awareness create kerni hai lockdown ki tyari kerni hai phir announce kerna hai Mujhe Immy boy ne khud phone pe btaya tha ,NOT RELATED,NOT RELATED,,1,NOT RELATED
 pmoindia Narendermodi PM sir  meri ek request hai aapse please CM Nitish Kumar se phone pe jankari le ki lockdown kitna successful hai abhi tak  fir aap news dekhein  our CM does n t know the meaning of Lockdown   sab road pe ghum the hain  ,NOT RELATED,NOT RELATED,Request,1,NOT RELATED
 Baat phone pe hui thi Means lockdown nahi hai Fir details mai bataoo kya Ho Raha hai hai wahan,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Corona Se Bachne k Liye Social Distancing koh Follow karo India and Donate Karo India PhonePe Per i4India Campaign Main Apka Rs Bhi important hai PhonePe i4India PMCARESFund PMCARES pradeep7233,DONATION,DONATION,Donation,1,DONATION
 Lol  issi social distancing me meri mummy aur Aunty ne ghante phone pe baat kr li i mean maro mujhe maaro AAAAAAAAAAAA,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Digital payments are proving to be the foundation to support Social Distancing Thoughts intellactiv FINTECHCircle fintech digitalpayments Paytm PhonePe_ NPCI_BHIM TheOfficialSBI HDFC_Bank ICICIBank DigitalTrends CoronavirusOutbreak COVID2019 SocialDistancing RBI,HELP-COVID19,HELP-COVID19,Appreciation,0,HELP-COVID19
 Thank you PhonePe_ for this initiative I have made my small contribution narendramodi PMOIndia more power to you for fighting this war against Corona I will make sure my family follows social distancing IndiaAgainstCorona AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 accepting only cash or card which is a mockery of social distancing The pharmacy cited network problems when i asked why the scanning codes are n t working Come on payment PhonePe_ it is in these times that we really need services like yours It one thing being,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 Yes social distancing is best way true hai Yes phone pe baat h,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Phone pe hi sahi Pyaar ki baatien rukni nahi chahiye  Let love bloom even with all the distance around AAAA Drop a AAA if you are loving someone from a distance right now AwezDarbar NagmaMirajkar SocialDistancing StayHome StayHomeStaySafe,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Phone pe Social distancing yaad hai na ,NULL,NULL,,1,NULL
 Alaye joor joor joor Ki won to so wipe won ko Lori phone pe won fun ra e Social distancing wa ni ilu,NOT RELATED,NOT RELATED,,1,NOT RELATED
 Physical Distancing he social Distancing nehin Twitter pe phone pe watsapp pe bat to ho hi sakti he dekh v sakte ho hi namaste v kar sakte ho,NOT RELATED,NOT RELATED,,1,NOT RELATED
 This is in response to Priyankajha0 calling out PhonePe_ for not recalling their sales team and promoting pay and social distancing on social media ,QUERY ANSWER,QUERY ANSWER,,0,QUERY ANSWER
 Here PhonePe_ shamelessly promoting pay and social distancing when they have n t recalled their sales force working tirelessly to get the company potential clients,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 PMCARES a little contribution coronavirusindia PhonePe motihari MotihariBCCD RadhamohanBJP,DONATION,DONATION,Donation,1,DONATION
 PMOIndia narendramodi MoHFW_INDIA coronavirusindiaPhonePe waiting period ,NULL,NULL,Donation,0,DONATION
 asked Rs 1 each fr PMCaresFund through PhonePe_ NPCI_BHIM Did it frm myself fmly members narendramodi rsprasad drharshvardhan TheOfficialSBI SharmaShradha YourStoryCo coronavirusindia givingtuesday AAA,DONATION,DONATION,Donation,1,DONATION
 Superb initiative by PhonePe_ Absolutely perfectly priced with simpler tnc Kudos to you Shout out to Bajaj Finserv as well CoronavirusPandemic coronavirusindia,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Rs 1 each The ask from India for PMOIndia PMCaresFund by PhonePe_ and their WATCH THE FULL INTERVIEW HERE AAA coronavirusindia COVID2019india narendramodi rsprasad drharshvardhan GivingTuesday coronaupdatesindia AAA,DONATION,DONATION,Help Covid-19,1,DONATION
 Rs 1 each The ask from India for PMOIndia PMCaresFund by PhonePe_ and their WATCH THE FULL INTERVIEW HERE AAA coronavirusindia COVID2019india narendramodi rsprasad drharshvardhan GivingTuesday coronaupdatesindia,DONATION,DONATION,Help Covid-19,1,DONATION
 CoronavirusIndia PhonePe pledged to contribute a maximum of up to Rs crore to PM CARES AAA,DONATION,DONATION,Donation,1,DONATION
 PhonePe initiated to add rupees for every donation PhonePe PMReliefFund coronavirusindia DonateKaroNa DonateKaroNaIndia,DONATION,DONATION,Help Covid-19,1,DONATION
 They are busy donating bro you keep working ThatAAAs how it works in india ModiMadeDisaster coronavirusindia,DONATION,DONATION,Donation,1,DONATION
 PhonePe please provide PM relief fund Donation option so that we can easily donate for PM relief fund coronavirusindia,DONATION,DONATION,Request,1,DONATION
  ABPnews TataTrusts Paytm GooglePay PhonePe AmitShah army Narendermodi myogiadityanath rajnathsingh anujbajpai AkshayKumar AnupamKher Banks news BJP bjp4india CoronaUpdate coronavirusindia,NULL,NULL,,1,NULL
 Dear myogiadityanath CMOfficeUP please provide an option to pay towards relief against coronavirusindia to UP Govt through electronic payments like Paytm PhonePe_ and GooglePay CoronavirusOutbreak Coronaindia CoronavirusOutbreakindia,REQUEST,REQUEST,Request,1,REQUEST
 PhonePe_ Paytm UPI_NPCI Is n t contactless UPI payments through QR codes a good way to make payments to help minimise the spread of coronavirusindia Promote it the medium please as soon as possible,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
